,trend_following,mean_reversion,dual_momentum,breakout
2008-01-02,0.3,0.2,0.3,0.2
2008-01-03,0.3,0.2,0.3,0.2
2008-01-04,0.3,0.2,0.3,0.2
2008-01-07,0.3,0.2,0.3,0.2
2008-01-08,0.3,0.2,0.3,0.2
2008-01-09,0.3,0.2,0.3,0.2
2008-01-10,0.3,0.2,0.3,0.2
2008-01-11,0.3,0.2,0.3,0.2
2008-01-14,0.3,0.2,0.3,0.2
2008-01-15,0.3,0.2,0.3,0.2
2008-01-16,0.3,0.2,0.3,0.2
2008-01-17,0.3,0.2,0.3,0.2
2008-01-18,0.3,0.2,0.3,0.2
2008-01-22,0.3,0.2,0.3,0.2
2008-01-23,0.3,0.2,0.3,0.2
2008-01-24,0.3,0.2,0.3,0.2
2008-01-25,0.3,0.2,0.3,0.2
2008-01-28,0.3,0.2,0.3,0.2
2008-01-29,0.3,0.2,0.3,0.2
2008-01-30,0.3,0.2,0.3,0.2
2008-01-31,0.37442826046878847,0.24961884031252568,0.37442826046878847,0.0015246387498974564
2008-02-01,0.37442756947517286,0.24961837965011527,0.37442756947517286,0.0015264813995390174
2008-02-04,0.5869115573420097,0.3912743715613399,0.019516973271281702,0.002297097825368665
2008-02-05,0.5869476245936032,0.3912984163957355,0.019494949596579443,0.002259009414081852
2008-02-06,0.5869996859916514,0.3913331239944343,0.019481419464477623,0.0021857705494366256
2008-02-07,0.587144319433594,0.39142954628906274,0.019264621682049052,0.0021615125952941573
2008-02-08,0.587134849548588,0.39142323303239207,0.01927972500814705,0.0021621924108729674
2008-02-11,0.587174376984959,0.39144958465663937,0.01928723711106046,0.002088801247341108
2008-02-12,0.5872312923563895,0.39148752823759303,0.01926994866347021,0.0020112307425473605
2008-02-13,0.587399641004936,0.3915997606699574,0.019287593693867098,0.001713004631239693
2008-02-14,0.5874163468685529,0.3916108979123687,0.019269357878065226,0.001703397341013087
2008-02-15,0.5874455185003609,0.39163034566690724,0.019252730944256932,0.0016714048884750423
2008-02-19,0.5874550846802219,0.3916367231201479,0.019258299955108728,0.0016498922445213823
2008-02-20,0.587599929853317,0.391733286568878,0.019267980268407113,0.0013988033093980524
2008-02-21,0.5876175673401717,0.3917450448934478,0.019262499243213996,0.001374888523166461
2008-02-22,0.58774588297135,0.3918305886475667,0.019081636675543967,0.0013418917055392494
2008-02-25,0.5877755878511307,0.3918503919007539,0.019087365743287375,0.0012866545048278773
2008-02-26,0.5877818506275883,0.3918545670850589,0.019077725235447644,0.0012858570519052922
2008-02-27,0.5879204111735253,0.39194694078235026,0.0189786920326744,0.0011539560114500582
2008-02-28,0.5879276882895597,0.3919517921930398,0.018966155725992744,0.00115436379140771
2008-02-29,0.5879822959881053,0.3919881973254035,0.01897219837174783,0.0010573083147433625
2008-03-03,0.5880087855803633,0.3920058570535756,0.01896084917186312,0.0010245081941978164
2008-03-04,0.5880481343909526,0.3920320895939684,0.01892969738253176,0.000990078632547395
2008-03-05,0.5880885849862001,0.3920590566574668,0.01893513728002426,0.0009172210763087296
2008-03-06,0.588175082122327,0.3921167214148847,0.01893977590272708,0.0007684205600611831
2008-03-07,0.5882016746477667,0.39213444976517786,0.018898072250978643,0.0007658033360766803
2008-03-10,0.5882027702107638,0.39213518014050935,0.01890183735803559,0.0007602122906913007
2008-03-11,0.588201999333963,0.39213466622264204,0.018905382283730558,0.0007579521596643819
2008-03-12,0.588201727388138,0.3921344849254254,0.01890879313208699,0.0007549945543495043
2008-03-13,0.5882119702091815,0.3921413134727877,0.018898874934117148,0.0007478413839135891
2008-03-14,0.5882131853326825,0.3921421235551217,0.01889865718368539,0.0007460339285103299
2008-03-17,0.5884006361834399,0.3922670907889599,0.0185884580754004,0.0007438149521999161
2008-03-18,0.5884564113105469,0.39230427420703134,0.018588560275615965,0.0006507542068058537
2008-03-19,0.588582475099454,0.3923883167329694,0.01838726966294812,0.0006419385046284335
2008-03-20,0.5885970278683049,0.39239801857886997,0.018381920999822547,0.0006230325530025792
2008-03-24,0.5886129158519888,0.3924086105679926,0.018379152200245757,0.0005993213797728337
2008-03-25,0.5886787781097785,0.39245251873985243,0.018269235446997573,0.0005994677033714129
2008-03-26,0.5887120323212193,0.3924746882141462,0.018213757742142258,0.0005995217224923462
2008-03-27,0.5887548279993909,0.3925032186662606,0.018142368578800944,0.0005995847555475331
2008-03-28,0.5887589849037164,0.39250598993581093,0.018135417388790827,0.0005996077716817844
2008-03-31,0.5888206509083802,0.39254710060558684,0.018032559762417286,0.0005996887236157179
2008-04-01,0.5889313501403332,0.3926209000935555,0.017847930750532703,0.0005998190155788008
2008-04-02,0.5889638206798291,0.3926425471198861,0.01779376313735512,0.000599869062929711
2008-04-03,0.5889625564951884,0.3926417043301256,0.01779585496911771,0.0005998842055683468
2008-04-04,0.5889613320431801,0.39264088802878677,0.017797881059733015,0.0005998988682999571
2008-04-07,0.5889789083161306,0.39265260554408715,0.017768553954429472,0.0005999321853528038
2008-04-08,0.5889918176409967,0.39266121176066454,0.017747010322039784,0.0005999602762990872
2008-04-09,0.5890304935226628,0.3926869956817752,0.017682496632353037,0.0006000141632090662
2008-04-10,0.5890293702721489,0.3926862468480992,0.017684355801533498,0.0006000270782184259
2008-04-11,0.5890286963141137,0.3926857975427425,0.017686173335411295,0.0005993328077326264
2008-04-14,0.5890276079394573,0.3926850719596382,0.017687925673838895,0.0005993944270656357
2008-04-15,0.5890442639139731,0.3926961759426488,0.017660408726344497,0.0005991514170334933
2008-04-16,0.5890437917564025,0.392695861170935,0.017662111112250918,0.000598235960411598
2008-04-17,0.5890766953719476,0.39271779691463177,0.017607236789982637,0.0005982709234378756
2008-04-18,0.5890757434748748,0.39271716231658327,0.017608777142635236,0.0005983170659066025
2008-04-21,0.5891076161583976,0.3927384107722651,0.017556071443876907,0.0005979016254603716
2008-04-22,0.5891248969606915,0.39274993130712765,0.017527698208950417,0.0005974735232303045
