,trend_following,mean_reversion,dual_momentum,breakout
trend_following,1.0,0.2810624485817938,0.6022855766560332,0.537497930061521
mean_reversion,0.2810624485817938,1.0,0.3499749886363322,0.09254139891531565
dual_momentum,0.6022855766560332,0.3499749886363322,1.0,0.36833905550751367
breakout,0.537497930061521,0.09254139891531565,0.36833905550751367,1.0
