,QQQ,VEU,STC,AlRajhi,BonyanREIT,AlinmaHospitalityREIT
2010-01-29,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-26,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-30,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-31,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-30,0.5,0.5,0.0,0.0,0.0,0.0
2010-10-31,0.23984036060630137,0.20094923666883577,0.2686919582261449,0.29051844449871805,0.0,0.0
2010-11-30,0.23758853084374867,0.1964505685317919,0.2755361871579214,0.29042471346653803,0.0,0.0
2010-12-31,0.240191618094148,0.19626260192231273,0.2758191089009662,0.287726671082573,0.0,0.0
2011-01-31,0.2415418346640479,0.19894024437186536,0.27072245810957035,0.2887954628545164,0.0,0.0
2011-02-28,0.2474299430994179,0.20522910838835023,0.2693893800593153,0.2779515684529166,0.0,0.0
2011-03-31,0.2686426163527542,0.2228760902837178,0.27252899306152806,0.23595230030199998,0.0,0.0
2011-04-29,0.26983205145700556,0.22318518384121824,0.26786398441587,0.23911878028590622,0.0,0.0
2011-05-31,0.26889723926716924,0.2216281240260075,0.2665238542350008,0.24295078247182242,0.0,0.0
2011-06-30,0.2661013600385613,0.22067686799970407,0.26888671923146873,0.24433505273026596,0.0,0.0
2011-07-31,0.26346347461494923,0.21920785143058638,0.27208734460226075,0.24524132935220366,0.0,0.0
2011-08-31,0.24158994726565639,0.2029217963653327,0.2956044490971279,0.2598838072718831,0.0,0.0
2011-09-30,0.2381666998533248,0.19641574949843868,0.302027414629246,0.26339013601899053,0.0,0.0
2011-10-31,0.23649772805877484,0.19125776486658233,0.2990224898792334,0.2732220171954094,0.0,0.0
2011-11-30,0.2286799742463127,0.18517604247238612,0.30446296988244553,0.2816810133988557,0.0,0.0
2011-12-30,0.22686314788437587,0.1844343555698971,0.3120834558476413,0.2766190406980856,0.0,0.0
2012-01-31,0.21707411980584398,0.1770348694223986,0.33490377405376304,0.2709872367179944,0.0,0.0
2012-02-29,0.22200435746447453,0.17707419934692545,0.3291261312479073,0.2717953119406927,0.0,0.0
2012-03-30,0.2254126330000509,0.1792804238826207,0.32833130607093636,0.26697563704639204,0.0,0.0
2012-04-30,0.23203013221913113,0.18523576838196046,0.32017508188967675,0.2625590175092317,0.0,0.0
2012-05-31,0.23201156058833328,0.1853591435086094,0.32124163718114584,0.2613876587219115,0.0,0.0
2012-06-29,0.22801371486419675,0.18417136458360897,0.3284185888521529,0.2593963317000414,0.0,0.0
2012-07-31,0.23695575974438784,0.19183817341190243,0.3041324764670932,0.2670735903766166,0.0,0.0
2012-08-31,0.2358041171050657,0.19041711758227384,0.30368095440611637,0.2700978109065442,0.0,0.0
2012-09-30,0.23272427081092986,0.188256932516364,0.3095006432595828,0.2695181534131234,0.0,0.0
2012-10-31,0.21852099611215223,0.1752052497019467,0.2992521860400771,0.30702156814582393,0.0,0.0
2012-11-30,0.21406585507822207,0.1730573010733312,0.2982534710563095,0.31462337279213726,0.0,0.0
2012-12-31,0.21257850804978798,0.17422469900125861,0.2999712488178368,0.3132255441311166,0.0,0.0
2013-01-31,0.2169368834848894,0.18038095626635142,0.29341764517039115,0.3092645150783681,0.0,0.0
2013-02-28,0.2160858941302198,0.18136873808670118,0.290726374362542,0.31181899342053704,0.0,0.0
2013-03-31,0.2251285631761188,0.18848041443703925,0.27855067914802123,0.30784034323882076,0.0,0.0
2013-04-30,0.23637078761528943,0.1951512681884125,0.26723168310783085,0.30124626108846725,0.0,0.0
2013-05-31,0.2427130425942891,0.20505709390136298,0.2607059654978682,0.29152389800647976,0.0,0.0
2013-06-30,0.2485752877498211,0.21674563075850115,0.25733228912550843,0.2773467923661693,0.0,0.0
2013-07-31,0.25977893358736065,0.23280711067979581,0.24519751817449267,0.2622164375583509,0.0,0.0
2013-08-30,0.26483450022867505,0.24047816076250592,0.23421628438443354,0.2604710546243854,0.0,0.0
2013-09-30,0.26693074055152005,0.24148844083833312,0.23017194266154925,0.2614088759485976,0.0,0.0
2013-10-31,0.2610035668857379,0.2473067534382068,0.22474962591193137,0.266940053764124,0.0,0.0
2013-11-29,0.26311238427979866,0.252712995592385,0.2079293695141833,0.27624525061363314,0.0,0.0
2013-12-31,0.26326608163453946,0.24928414823072892,0.20610830431575947,0.2813414658189721,0.0,0.0
2014-01-31,0.26517727952353365,0.2534104760459504,0.19305539082237427,0.28835685360814156,0.0,0.0
2014-02-28,0.2650668050383922,0.254995570082745,0.1871386402383721,0.2927989846404908,0.0,0.0
2014-03-31,0.2683269145498846,0.2594424990856808,0.1886557231720041,0.2835748631924306,0.0,0.0
2014-04-30,0.265259282123783,0.26732297343409,0.1832874532403368,0.28413029120179023,0.0,0.0
2014-05-30,0.2643015094637798,0.2704642885037297,0.17988357014981768,0.28535063188267284,0.0,0.0
2014-06-30,0.2680042297045048,0.2734554792255025,0.1786311712959817,0.279909119774011,0.0,0.0
2014-07-31,0.26676584750605575,0.2735173710884988,0.1751400005007762,0.28457678090466926,0.0,0.0
2014-08-31,0.271606750145166,0.27206402564675325,0.17422132640399476,0.28210789780408607,0.0,0.0
2014-09-30,0.2689470194693296,0.2686539707017402,0.18060735119156424,0.28179165863736594,0.0,0.0
2014-10-31,0.2743246251132381,0.2781852483046709,0.18020711279108473,0.26728301379100633,0.0,0.0
2014-11-30,0.2810370803443065,0.28164478356650696,0.17839071264447562,0.25892742344471087,0.0,0.0
2014-12-31,0.3028618342807992,0.31961652386161216,0.16237995187241408,0.2151416899851746,0.0,0.0
2015-01-30,0.30136132282711753,0.32548411086805235,0.16461562714696662,0.2085389391578635,0.0,0.0
2015-02-27,0.30265952519418854,0.3328491651018075,0.16125494081811978,0.20323636888588423,0.0,0.0
2015-03-31,0.3003940607733384,0.33220823941288996,0.16278659624261782,0.20461110357115378,0.0,0.0
2015-04-30,0.29969562587453097,0.33851099269646445,0.16148980676530075,0.20030357466370383,0.0,0.0
2015-05-31,0.30040224161934836,0.3398427846153124,0.1624215996765654,0.19733337408877383,0.0,0.0
2015-06-30,0.29926274282236903,0.33511180024392395,0.16803968267980776,0.19758577425389928,0.0,0.0
2015-07-31,0.30105422938494003,0.3299551749871281,0.1703523600538103,0.19863823557412164,0.0,0.0
2015-08-31,0.2990811379614677,0.3343122310519092,0.1725066528956066,0.1940999780910166,0.0,0.0
2015-09-30,0.2973975850696641,0.32576168699556723,0.18037077323500011,0.19646995469976858,0.0,0.0
2015-10-30,0.2954551446732416,0.328289444278956,0.18072368059685157,0.19553173045095082,0.0,0.0
2015-11-30,0.30369616578100134,0.3297425123934735,0.17536481990279887,0.19119650192272628,0.0,0.0
2015-12-31,0.301906073437984,0.3258347634795405,0.18451071427150506,0.18774844881097041,0.0,0.0
2016-01-31,0.2987963612970337,0.3211912339883654,0.19065844486633798,0.18935395984826284,0.0,0.0
2016-02-29,0.29456332841015714,0.3168617603372325,0.19609035705449518,0.19248455419811514,0.0,0.0
2016-03-31,0.2963907279946681,0.3138227271887547,0.19554823682690634,0.19423830798967082,0.0,0.0
2016-04-29,0.29795180064504584,0.3132485684825202,0.19518057477486325,0.1936190560975707,0.0,0.0
2016-05-31,0.29828091314580435,0.311382516553296,0.19694425987354536,0.19339231042735433,0.0,0.0
2016-06-30,0.30077676963244887,0.2929775836613373,0.2066060356957134,0.19963961101050048,0.0,0.0
2016-07-31,0.2986356120775993,0.2912014124713933,0.2073829389273541,0.20278003652365337,0.0,0.0
