Week_Ending,Open,Low,High,Close,A2P,Volume,OB_Bull,OB_Bear,OB_Type,OB_High,OB_Low,OB_Mid
2000-01-07 00:00:00-05:00,92.8951,86.0024,92.8951,91.3286,0.6266,42725700,0,0,,,,
2000-01-14 00:00:00-05:00,91.6419,89.5271,92.4056,92.0923,0.6266,32748700,0,0,,,,
2000-01-21 00:00:00-05:00,91.0740,90.1145,92.1119,90.5062,0.6266,24691300,0,0,,,,
2000-01-28 00:00:00-05:00,91.2698,84.9254,91.3873,85.1408,0.6266,45836400,0,0,,,,
2000-02-04 00:00:00-05:00,85.1016,84.5925,90.2320,89.3508,0.6266,38317400,0,0,,,,
2000-02-11 00:00:00-05:00,89.3312,86.4919,90.5844,86.9031,0.6266,35834100,0,0,,,,
2000-02-18 00:00:00-05:00,87.5885,84.3575,88.4892,84.7883,0.6266,45445900,0,0,,,,
2000-02-25 00:00:00-05:00,84.7100,83.3980,86.1395,83.5449,0.6266,56469300,0,0,,,,
2000-03-03 00:00:00-05:00,83.5742,83.1630,88.8025,88.4305,0.6266,48878800,0,0,,,,
2000-03-10 00:00:00-05:00,88.2347,84.6121,88.9788,87.8039,0.6266,57263100,0,0,,,,
2000-03-17 00:00:00-05:00,85.8676,85.2394,92.9742,92.3067,0.6282,64979500,0,0,,,,
2000-03-24 00:00:00-05:00,92.2674,90.7755,97.8428,96.4686,0.6282,57492300,0,0,,,,
2000-03-31 00:00:00-05:00,96.3507,92.4245,96.6059,94.4661,0.6282,40621500,0,0,,,,
2000-04-07 00:00:00-04:00,94.3091,88.8221,96.1152,95.1336,0.6282,48883000,0,0,,,,
2000-04-14 00:00:00-04:00,95.3299,83.8652,96.1839,85.4357,0.6282,71239600,0,0,,,,
2000-04-21 00:00:00-04:00,84.9253,84.6112,91.1680,90.3435,0.6282,50078700,0,0,,,,
2000-04-28 00:00:00-04:00,88.8908,88.2626,93.4453,91.1484,0.6282,59044900,0,0,,,,
2000-05-05 00:00:00-04:00,92.0711,87.8111,93.2784,90.1669,0.6282,43196900,0,0,,,,
2000-05-12 00:00:00-04:00,89.6761,86.5351,90.1276,89.7153,0.6282,34030200,0,0,,,,
2000-05-19 00:00:00-04:00,89.6761,88.2037,92.7974,88.6552,0.6282,29384700,0,0,,,,
2000-05-26 00:00:00-04:00,88.7338,85.7498,89.0872,86.6921,0.6282,42993000,0,0,,,,
2000-06-02 00:00:00-04:00,87.9485,87.6148,93.6612,92.8760,0.6282,29343000,0,0,,,,
2000-06-09 00:00:00-04:00,92.6404,91.4822,93.1116,92.0907,0.6282,25584900,0,0,,,,
2000-06-16 00:00:00-04:00,92.5437,91.0679,93.7440,92.3075,0.6297,28107200,0,0,,,,
2000-06-23 00:00:00-04:00,92.2288,90.5956,93.9211,90.9104,0.6297,27055700,0,0,,,,
2000-06-30 00:00:00-04:00,91.5401,90.3693,92.5535,91.4811,0.6297,28474400,0,0,,,,
2000-07-07 00:00:00-04:00,91.5795,90.8121,93.6850,93.2521,0.6297,13182800,0,0,,,,
2000-07-14 00:00:00-04:00,93.1144,92.6618,95.2395,95.2395,0.6297,24828600,0,0,,,,
2000-07-21 00:00:00-04:00,95.0723,92.9963,95.7020,92.9963,0.6297,27173000,0,0,,,,
2000-07-28 00:00:00-04:00,93.2717,89.1099,93.7342,89.4740,0.6297,36330200,1,0,Bullish,93.7342,89.1099,91.4220
2000-08-04 00:00:00-04:00,90.0052,89.4543,92.3862,92.1698,0.6297,24945600,0,0,,,,
2000-08-11 00:00:00-04:00,92.3863,91.6582,93.9605,92.8192,0.6297,22485100,0,0,,,,
2000-08-18 00:00:00-04:00,93.0553,92.6027,94.7279,94.2556,0.6297,24001500,0,0,,,,
2000-08-25 00:00:00-04:00,94.4721,93.9999,95.4757,95.2395,0.6297,18290300,0,0,,,,
2000-09-01 00:00:00-04:00,95.2395,94.6688,96.7153,96.0266,0.6297,21099700,0,1,Bearish,96.7153,94.6688,95.6920
2000-09-08 00:00:00-04:00,95.6331,94.0293,95.8397,94.3343,0.6297,15576700,0,0,,,,
2000-09-15 00:00:00-04:00,94.5319,92.1647,95.4394,92.1647,0.6313,23881000,0,0,,,,
2000-09-22 00:00:00-04:00,92.4014,89.9059,92.7762,91.7109,0.6313,31969200,0,0,,,,
2000-09-29 00:00:00-04:00,92.1252,89.7185,92.3718,90.6654,0.6313,38584900,0,0,,,,
2000-10-06 00:00:00-04:00,91.0796,88.2192,92.0068,89.0477,0.6313,35595700,0,0,,,,
2000-10-13 00:00:00-04:00,89.2056,83.8201,89.2056,86.8383,0.6313,45074400,0,0,,,,
2000-10-20 00:00:00-04:00,86.7397,82.1630,89.1267,88.3179,0.6313,40528800,0,0,,,,
2000-10-27 00:00:00-04:00,88.3376,84.6092,89.6001,87.9233,0.6313,39287000,0,0,,,,
2000-11-03 00:00:00-05:00,87.3907,87.2132,90.8429,90.1328,0.6313,41242300,0,0,,,,
2000-11-10 00:00:00-05:00,90.3695,86.1873,91.0895,86.2465,0.6313,34601900,0,0,,,,
2000-11-17 00:00:00-05:00,85.6152,83.9680,88.4461,86.2564,0.6313,47027100,0,0,,,,
2000-11-24 00:00:00-05:00,85.6942,83.4058,86.0887,85.1221,0.6313,22291300,0,0,,,,
2000-12-01 00:00:00-05:00,86.1479,81.9066,86.2860,83.4650,0.6313,37031000,0,0,,,,
2000-12-08 00:00:00-05:00,83.2480,83.0113,88.0417,84.5697,0.6313,45573400,0,0,,,,
2000-12-15 00:00:00-05:00,86.9860,82.6723,88.3712,82.9296,0.6332,34242700,0,0,,,,
2000-12-22 00:00:00-05:00,83.6221,79.4865,85.4624,82.9098,0.6332,51360700,0,0,,,,
2000-12-29 00:00:00-05:00,82.8504,82.4942,85.0270,83.0680,0.6332,26652700,0,0,,,,
2001-01-05 00:00:00-05:00,83.5825,80.7727,86.1153,81.8017,0.6332,50299500,0,0,,,,
2001-01-12 00:00:00-05:00,82.2370,80.8519,84.6709,83.5826,0.6332,35562900,0,0,,,,
2001-01-19 00:00:00-05:00,83.5825,83.2758,86.2341,84.8588,0.6332,32283100,0,0,,,,
2001-01-26 00:00:00-05:00,85.0072,84.5719,86.9464,86.0362,0.6332,39669000,0,1,Bearish,86.9464,84.5719,85.7592
2001-02-02 00:00:00-05:00,85.7987,85.3238,87.8250,85.3555,0.6332,39997600,0,0,,,,
2001-02-09 00:00:00-05:00,85.3555,83.1140,86.5586,83.4812,0.6332,33064600,0,0,,,,
2001-02-16 00:00:00-05:00,83.3926,81.8729,84.9566,82.5694,0.6332,33156800,0,0,,,,
2001-02-23 00:00:00-05:00,82.9746,77.1239,83.0380,79.1248,0.6332,58125400,0,0,,,,
2001-03-02 00:00:00-05:00,79.6567,77.0922,80.9484,78.2700,0.6332,64980800,0,0,,,,
2001-03-09 00:00:00-05:00,78.6119,77.9534,80.8915,78.1117,0.6332,34657200,0,0,,,,
2001-03-16 00:00:00-05:00,77.6744,72.8935,77.7759,73.0205,0.6349,115629200,0,0,,,,
2001-03-23 00:00:00-05:00,73.4967,68.5952,75.2109,72.6840,0.6349,85642800,0,0,,,,
2001-03-30 00:00:00-05:00,73.4586,71.1983,75.3315,74.0871,0.6349,55021700,0,0,,,,
2001-04-06 00:00:00-04:00,73.8396,69.3952,74.5252,71.9348,0.6349,74741900,0,0,,,,
2001-04-13 00:00:00-04:00,72.3793,71.6047,75.5475,75.4586,0.6349,48863400,0,0,,,,
2001-04-20 00:00:00-04:00,75.1030,74.2268,79.9981,79.0458,0.6349,72192900,0,0,,,,
2001-04-27 00:00:00-04:00,78.5061,76.7919,79.8966,79.8585,0.6349,45274600,0,0,,,,
2001-05-04 00:00:00-04:00,80.2838,78.3728,81.0711,80.8489,0.6349,52989300,0,0,,,,
2001-05-11 00:00:00-04:00,80.5442,78.9823,80.9505,79.4585,0.6349,38252000,0,0,,,,
2001-05-18 00:00:00-04:00,79.2997,79.0204,82.5886,82.3727,0.6349,51112900,0,0,,,,
2001-05-25 00:00:00-04:00,82.4362,81.2045,83.8647,81.3314,0.6349,47532800,0,0,,,,
2001-06-01 00:00:00-04:00,81.4076,79.3632,81.4902,80.4616,0.6349,37768200,0,0,,,,
2001-06-08 00:00:00-04:00,80.5061,80.0489,82.0489,80.6330,0.6349,42329700,0,0,,,,
2001-06-15 00:00:00-04:00,80.6777,76.6601,80.8560,77.5833,0.6367,53430100,0,0,,,,
2001-06-22 00:00:00-04:00,77.4560,76.9721,79.1496,78.2200,0.6367,52358900,0,0,,,,
2001-06-29 00:00:00-04:00,78.4938,76.7683,78.9586,78.0608,0.6367,46611200,0,0,,,,
2001-07-06 00:00:00-04:00,78.1882,75.8005,79.1560,75.8005,0.6367,29009100,0,0,,,,
2001-07-13 00:00:00-04:00,76.0807,74.5526,77.8826,77.8316,0.6367,54735200,0,0,,,,
2001-07-20 00:00:00-04:00,77.5324,76.2972,78.3028,77.2586,0.6367,38883100,0,0,,,,
2001-07-27 00:00:00-04:00,77.5515,74.3361,77.6024,76.9211,0.6367,53799700,0,0,,,,
2001-08-03 00:00:00-04:00,77.1631,76.5964,78.4747,77.6406,0.6367,54293000,0,0,,,,
2001-08-10 00:00:00-04:00,77.2649,74.7117,77.3668,75.9533,0.6367,57890800,0,0,,,,
2001-08-17 00:00:00-04:00,76.1507,73.8649,76.6282,74.3361,0.6367,51469600,0,0,,,,
2001-08-24 00:00:00-04:00,74.3679,73.7185,75.8515,75.7814,0.6367,57082300,0,0,,,,
2001-08-31 00:00:00-04:00,75.7496,71.3372,75.8960,72.6806,0.6367,69329700,0,0,,,,
2001-09-07 00:00:00-04:00,72.4896,69.1660,73.9668,69.2233,0.6367,100737400,0,0,,,,
2001-09-14 00:00:00-04:00,68.5739,68.5739,70.2611,70.0701,0.6367,23408700,0,0,,,,
2001-09-21 00:00:00-04:00,64.5492,59.9476,68.0003,62.1717,0.6391,183182700,0,0,,,,
2001-09-28 00:00:00-04:00,63.7311,63.3093,70.0582,66.7477,0.6391,111827300,0,0,,,,
2001-10-05 00:00:00-04:00,66.4026,65.7187,69.6428,68.5308,0.6391,134806500,0,0,,,,
2001-10-12 00:00:00-04:00,67.9172,67.4379,70.4928,69.9815,0.6391,103300800,0,0,,,,
2001-10-19 00:00:00-04:00,69.4255,67.7511,71.0360,68.6075,0.6391,99714900,0,0,,,,
2001-10-26 00:00:00-04:00,68.5755,68.2176,71.4451,70.5056,0.6391,101759500,0,0,,,,
2001-11-02 00:00:00-05:00,70.4033,67.4634,70.6525,69.8217,0.6391,120413000,0,0,,,,
2001-11-09 00:00:00-05:00,70.3778,70.2052,72.9086,72.0394,0.6391,97350600,0,0,,,,
2001-11-16 00:00:00-05:00,70.9401,70.3010,73.7522,73.0875,0.6391,96541400,0,0,,,,
2001-11-23 00:00:00-05:00,73.4455,72.5443,74.0398,73.9312,0.6391,48022400,0,0,,,,
2001-11-30 00:00:00-05:00,73.9759,72.2184,74.7109,72.8894,0.6391,83217900,0,0,,,,
2001-12-07 00:00:00-05:00,72.6338,72.2248,75.4139,74.4936,0.6391,94495000,0,0,,,,
2001-12-14 00:00:00-05:00,74.0398,71.5793,74.3849,72.3015,0.6391,86616100,0,0,,,,
2001-12-21 00:00:00-05:00,72.4604,72.4027,74.3394,73.7173,0.6413,76638600,0,0,,,,
2001-12-28 00:00:00-05:00,73.6403,73.4993,74.8716,74.3907,0.6413,36034700,0,0,,,,
2002-01-04 00:00:00-05:00,74.4869,72.9862,75.6604,75.4296,0.6413,69155100,0,1,Bearish,75.6604,72.9862,74.3233
2002-01-11 00:00:00-05:00,75.4809,73.5570,75.6668,73.7109,0.6413,68932300,0,0,,,,
2002-01-18 00:00:00-05:00,73.5249,72.2552,73.9995,72.5630,0.6413,83899400,0,0,,,,
2002-01-25 00:00:00-05:00,72.9477,71.8383,73.2684,72.8195,0.6413,49081700,0,0,,,,
2002-02-01 00:00:00-05:00,73.0440,69.5168,73.2299,72.2423,0.6413,108769500,0,0,,,,
2002-02-08 00:00:00-05:00,71.9730,69.2603,71.9730,70.6006,0.6413,130066600,0,0,,,,
2002-02-15 00:00:00-05:00,70.5750,70.4275,72.4476,71.1137,0.6413,88336600,0,0,,,,
2002-02-22 00:00:00-05:00,70.6391,69.1449,70.9469,70.3120,0.6413,98092400,0,0,,,,
2002-03-01 00:00:00-05:00,70.3761,70.3505,73.0118,72.9413,0.6413,118432100,0,0,,,,
2002-03-08 00:00:00-05:00,73.0440,72.8836,75.6092,75.0256,0.6413,109307600,0,0,,,,
2002-03-15 00:00:00-05:00,75.1762,74.3658,75.8257,75.0218,0.6431,82338900,0,0,,,,
2002-03-22 00:00:00-05:00,75.3112,73.3947,75.7228,73.9864,0.6431,93657600,0,0,,,,
2002-03-29 00:00:00-05:00,74.0185,72.8673,74.4559,73.6519,0.6431,74000400,0,0,,,,
2002-04-05 00:00:00-05:00,73.4654,72.1341,74.0250,72.4750,0.6431,101992900,0,0,,,,
2002-04-12 00:00:00-04:00,71.5939,70.7707,73.0217,71.6582,0.6431,89196400,0,0,,,,
2002-04-19 00:00:00-04:00,71.7868,70.8736,73.1053,72.5972,0.6431,81059900,0,0,,,,
2002-04-26 00:00:00-04:00,72.2756,69.0021,72.3078,69.0664,0.6431,95013900,0,0,,,,
2002-05-03 00:00:00-04:00,69.4137,68.5776,70.6871,69.1886,0.6431,95625800,0,0,,,,
2002-05-10 00:00:00-04:00,69.2271,67.4650,70.3333,67.9923,0.6431,110502300,0,0,,,,
2002-05-17 00:00:00-04:00,68.3139,68.0374,71.5489,71.3238,0.6431,134329900,0,1,Bearish,71.5489,68.0374,69.7931
2002-05-24 00:00:00-04:00,71.1566,69.4587,71.1887,69.9025,0.6431,72312000,0,0,,,,
2002-05-31 00:00:00-04:00,70.1340,68.1081,70.1854,68.9570,0.6431,77054400,0,0,,,,
2002-06-07 00:00:00-04:00,68.8734,65.4198,69.2014,66.4617,0.6431,118618500,0,0,,,,
2002-06-14 00:00:00-04:00,66.3973,63.3489,67.2334,65.2140,0.6431,130328000,0,0,,,,
2002-06-21 00:00:00-04:00,65.7778,63.6868,67.7850,64.0740,0.6454,117698100,0,0,,,,
2002-06-28 00:00:00-04:00,63.6416,61.4343,65.1130,63.8674,0.6454,168238900,0,0,,,,
2002-07-05 00:00:00-04:00,64.0095,60.4857,64.4096,64.0934,0.6454,104063400,0,0,,,,
2002-07-12 00:00:00-04:00,63.8804,58.2914,64.3451,59.2788,0.6454,196756600,0,0,,,,
2002-07-19 00:00:00-04:00,59.1433,54.4061,60.2146,54.6707,0.6454,289709500,0,0,,,,
2002-07-26 00:00:00-04:00,54.2771,50.1337,55.4581,55.2451,0.6454,388024300,0,0,,,,
2002-08-02 00:00:00-04:00,56.4713,55.2580,59.0852,56.0131,0.6454,264039800,0,0,,,,
2002-08-09 00:00:00-04:00,55.8195,53.9221,59.3369,58.9174,0.6454,245429700,0,0,,,,
2002-08-16 00:00:00-04:00,58.0784,56.8070,60.7180,60.1630,0.6454,215024600,0,0,,,,
2002-08-23 00:00:00-04:00,60.3179,60.0855,62.6993,61.0536,0.6454,175923300,0,0,,,,
2002-08-30 00:00:00-04:00,61.2537,58.6076,62.1185,59.2336,0.6454,181468800,0,0,,,,
2002-09-06 00:00:00-04:00,58.5559,56.4713,58.7302,58.0848,0.6454,233559000,0,0,,,,
2002-09-13 00:00:00-04:00,57.5040,56.9554,60.2340,57.8718,0.6454,187858900,0,0,,,,
2002-09-20 00:00:00-04:00,57.8979,54.4879,59.1167,54.6824,0.6483,225332800,0,0,,,,
2002-09-27 00:00:00-04:00,54.2287,53.0618,55.7327,53.6452,0.6483,293981500,0,0,,,,
2002-10-04 00:00:00-04:00,53.1590,51.5901,55.6030,52.3810,0.6483,321074300,0,0,,,,
2002-10-11 00:00:00-04:00,51.9013,49.9629,54.9288,54.5593,0.6483,371732700,0,0,,,,
