,Actual_Return,Prediction,Position_Binary (t=0),Position_Binary (t=opt),Position_Scaled,Position_Adaptive,Equity_Binary (t=0),Equity_Binary (t=opt),Equity_Scaled,Equity_Adaptive,BnH_Equity
2010-10-29,3.5699,-0.0696,0.0000,0.0000,0.0000,0.0000,1.1560,1.1123,1.0887,1.1326,1.1066
2010-11-05,-2.0535,-0.0206,0.0000,0.0000,0.0000,1.0000,1.1560,1.1123,1.0887,1.1091,1.0839
2010-11-12,0.0750,-0.2040,0.0000,0.0000,0.0000,0.0000,1.1560,1.1123,1.0887,1.1089,1.0847
2010-11-19,-1.2387,-0.0589,0.0000,0.0000,0.0000,0.0000,1.1560,1.1123,1.0887,1.1089,1.0713
2010-11-26,3.4427,-0.0231,0.0000,0.0000,0.0000,1.0000,1.1560,1.1123,1.0887,1.1469,1.1082
2010-12-03,1.2939,-0.1400,0.0000,0.0000,0.0000,1.0000,1.1560,1.1123,1.0887,1.1617,1.1225
2010-12-10,0.3806,-0.2254,0.0000,0.0000,0.0000,0.0000,1.1560,1.1123,1.0887,1.1615,1.1268
2010-12-17,1.0458,-0.0440,0.0000,0.0000,0.0000,1.0000,1.1560,1.1123,1.0887,1.1734,1.1386
2010-12-24,0.1194,-0.0290,0.0000,0.0000,0.0000,1.0000,1.1560,1.1123,1.0887,1.1748,1.1399
2010-12-31,1.1054,-0.0394,0.0000,0.0000,0.0000,1.0000,1.1560,1.1123,1.0887,1.1878,1.1525
2011-01-07,1.6990,-0.0513,0.0000,0.0000,0.0000,1.0000,1.1560,1.1123,1.0887,1.2079,1.1721
2011-01-14,-0.7194,0.0295,1.0000,0.0000,0.0591,1.0000,1.1475,1.1123,1.0883,1.1993,1.1637
2011-01-21,-0.5063,-0.1854,0.0000,0.0000,0.0000,1.0000,1.1472,1.1123,1.0883,1.1932,1.1578
2011-01-28,2.6856,-0.0358,0.0000,0.0000,0.0000,1.0000,1.1472,1.1123,1.0883,1.2252,1.1889
2011-02-04,1.4945,-0.1427,0.0000,0.0000,0.0000,1.0000,1.1472,1.1123,1.0883,1.2435,1.2066
2011-02-11,1.0667,-0.0928,0.0000,0.0000,0.0000,1.0000,1.1472,1.1123,1.0883,1.2568,1.2195
2011-02-18,-1.6353,-0.1652,0.0000,0.0000,0.0000,1.0000,1.1472,1.1123,1.0883,1.2363,1.1996
2011-02-25,0.1059,0.0006,1.0000,0.0000,0.0012,1.0000,1.1482,1.1123,1.0883,1.2376,1.2008
2011-03-04,-1.2305,-0.2017,0.0000,0.0000,0.0000,0.0000,1.1480,1.1123,1.0883,1.2373,1.1861
2011-03-11,-1.9298,-0.0670,0.0000,0.0000,0.0000,1.0000,1.1480,1.1123,1.0883,1.2132,1.1632
2011-03-18,2.7708,0.1560,1.0000,0.0000,0.3121,1.0000,1.1796,1.1123,1.0976,1.2468,1.1954
2011-03-25,1.4090,-0.0164,0.0000,0.0000,0.0000,1.0000,1.1793,1.1123,1.0975,1.2644,1.2122
2011-04-01,-0.2179,-0.0353,0.0000,0.0000,0.0000,1.0000,1.1793,1.1123,1.0975,1.2616,1.2096
2011-04-08,-0.6171,-0.0970,0.0000,0.0000,0.0000,1.0000,1.1793,1.1123,1.0975,1.2538,1.2021
